Semester,Final Score,Final Grade
Fall 2017,71.86,C
Fall 2017,80.44,B
Fall 2017,71.82,C
Fall 2017,75.06,BC
Fall 2017,77.47,BC
Fall 2017,69.23,F
Fall 2017,69.92,F
Fall 2017,78.02,BC
Fall 2017,69.33,F
Fall 2017,76.38,BC
Fall 2017,78.82,BC
Fall 2017,78.46,BC
Fall 2017,72.15,C
Fall 2017,68.47,F
Fall 2017,75.34,BC
Fall 2017,72.93,C
Fall 2017,66.36,F
Fall 2017,67.95,F
Fall 2017,77.64,BC
Fall 2017,75.07,BC
Fall 2017,76.93,BC
Fall 2017,68.62,F
Fall 2017,50.88,F
Fall 2017,79.17,BC
Fall 2017,82.56,B
Fall 2017,74.76,C
Fall 2017,63.84,F
Fall 2017,69.23,F
Fall 2017,76.46,BC
Fall 2017,65.91,F
Fall 2017,82.17,B
Fall 2017,83.33,B
Fall 2017,83.87,B
Fall 2017,78.07,BC
Fall 2017,74.89,C
Fall 2017,68.04,F
Fall 2017,63.38,F
Fall 2017,70.99,C
Fall 2017,69.6,F
Fall 2017,76.66,BC
Fall 2017,77.04,BC
Fall 2017,82.04,B
Fall 2017,75.14,BC
Fall 2017,79.96,BC
Fall 2017,79.37,BC
Fall 2017,73.32,C
Fall 2017,68.35,F
Fall 2017,83.41,B
Fall 2017,75.61,BC
Fall 2017,70.24,C
Fall 2017,78.89,BC
Fall 2017,69.08,F
Fall 2017,74.69,C
Fall 2017,72.11,C
Fall 2017,71.27,C
Fall 2017,71.3,C
Fall 2017,65.07,F
Fall 2017,77.66,BC
Fall 2017,71.03,C
Fall 2017,71.05,C
Fall 2017,66.22,F
Fall 2017,75.46,BC
Fall 2017,73.5,C
Fall 2017,72.9,C
Fall 2017,63.95,F
Fall 2017,82.32,B
Fall 2017,73.72,C
Fall 2017,66.76,F
Fall 2017,72.21,C
Fall 2017,75.47,BC
Fall 2017,76.77,BC
Fall 2017,68.76,F
Fall 2017,80.27,B
Fall 2017,80.5,B
Fall 2017,79.32,BC
Fall 2017,73.86,C
Fall 2017,78.22,BC
Fall 2017,78.23,BC
Fall 2017,74.94,C
Fall 2017,73.93,C
Fall 2017,78.08,BC
Fall 2017,71.99,C
Fall 2017,78.93,BC
Fall 2017,74.53,C
Fall 2017,74.65,C
Fall 2017,76.34,BC
Fall 2017,75.84,BC
Fall 2017,82.28,B
Fall 2017,76.38,BC
Fall 2017,70.28,C
Fall 2017,69.17,F
Fall 2017,76.78,BC
Fall 2017,64.84,F
Fall 2017,68.29,F
Fall 2017,72.21,C
Fall 2017,74.05,C
Fall 2017,78.13,BC
Fall 2017,74.1,C
Fall 2017,83.7,B
Fall 2017,63.19,F
Fall 2017,72.66,C
Fall 2017,77.63,BC
Fall 2017,75.57,BC
Fall 2017,78.15,BC
Fall 2017,79.43,BC
Fall 2017,78.16,BC
Fall 2017,68.24,F
Fall 2017,62.05,F
Fall 2017,76.4,BC
Fall 2017,74.88,C
Fall 2017,69.67,F
Fall 2017,82.17,B
Fall 2017,68.05,F
Fall 2017,74.82,C
Fall 2017,74.16,C
Fall 2017,76.63,BC
Fall 2017,75.84,BC
Fall 2017,78.11,BC
Fall 2017,77.6,BC
Fall 2017,85.01,AB
Fall 2017,74.27,C
Fall 2017,66.65,F
Fall 2017,71.15,C
Fall 2017,73.22,C
Fall 2017,65.99,F
Fall 2017,75.22,BC
Fall 2017,74.38,C
Fall 2017,75.58,BC
Fall 2017,70.14,C
Fall 2017,81.22,B
Fall 2017,70.28,C
Fall 2017,79.68,BC
Fall 2017,75.86,BC
Fall 2017,74.41,C
Fall 2017,76.92,BC
Fall 2017,73.73,C
Fall 2017,84.05,B
Fall 2017,73.52,C
Fall 2017,73.99,C
Fall 2017,74.64,C
Fall 2017,70.66,C
Fall 2017,71.32,C
Fall 2017,66.41,F
Fall 2017,76.39,BC
Fall 2017,74.01,C
Fall 2017,81.35,B
Fall 2017,74.18,C
Fall 2017,80.73,B
