Timestamp,"Score the following as per how valuable they were for your learning and enabling you to be a productive member of a design team.  [1 = not valuable,  5 = highly valuable.] [1]","Score the following as per how valuable they were for your learning and enabling you to be a productive member of a design team.  [1 = not valuable,  5 = highly valuable.] [2]","Score the following as per how valuable they were for your learning and enabling you to be a productive member of a design team.  [1 = not valuable,  5 = highly valuable.] [3]","Score the following as per how valuable they were for your learning and enabling you to be a productive member of a design team.  [1 = not valuable,  5 = highly valuable.] [4]","Score the following as per how valuable they were for your learning and enabling you to be a productive member of a design team.  [1 = not valuable,  5 = highly valuable.] [5]","If you have any comments on your selection, please feel free to provide them through this text field."
12/9/2021 9:35:31,"Unlimited attempts on quizzes, by a due date (instead of the traditional ""single attempt"").",,,,,"I liked all the changes greatly, but I believe you formatted this quiz wrong, you can only give one category a 5"
12/9/2021 9:38:40,Unlimited attempts on quizzes (instead of the traditional “single attempt”).,,,,,I have no clue how that question above works 
12/9/2021 9:38:56,,,,,"Unlimited attempts on quizzes (instead of the traditional “single attempt”)., Mastery Quizzes (instead of traditional timed exams)., 5-6 member design teams (instead of 3-4 member teams)., Two design reviews with DR-1 providing intermediate feedback on your design(instead of a single final presentation).",
12/9/2021 9:39:51,"Unlimited attempts on quizzes (instead of the traditional “single attempt”)., Mastery Quizzes (instead of traditional timed exams).",,,,"5-6 member design teams (instead of 3-4 member teams)., Two design reviews with DR-1 providing intermediate feedback on your design(instead of a single final presentation).",
12/9/2021 9:41:03,,,,"5-6 member design teams (instead of 3-4 member teams)., Two design reviews with DR-1 providing intermediate feedback on your design(instead of a single final presentation).","Unlimited attempts on quizzes (instead of the traditional “single attempt”)., Mastery Quizzes (instead of traditional timed exams).",
12/9/2021 9:41:17,"Unlimited attempts on quizzes (instead of the traditional “single attempt”)., Mastery Quizzes (instead of traditional timed exams)., Two design reviews with DR-1 providing intermediate feedback on your design(instead of a single final presentation).",5-6 member design teams (instead of 3-4 member teams).,,,,
12/9/2021 9:43:01,,,,,"Unlimited attempts on quizzes (instead of the traditional “single attempt”)., Mastery Quizzes (instead of traditional timed exams)., 5-6 member design teams (instead of 3-4 member teams)., Two design reviews with DR-1 providing intermediate feedback on your design(instead of a single final presentation).",
12/9/2021 9:43:25,,,,"5-6 member design teams (instead of 3-4 member teams)., Two design reviews with DR-1 providing intermediate feedback on your design(instead of a single final presentation).","Unlimited attempts on quizzes (instead of the traditional “single attempt”)., Mastery Quizzes (instead of traditional timed exams).",
12/9/2021 9:46:49,,,5-6 member design teams (instead of 3-4 member teams).,Two design reviews with DR-1 providing intermediate feedback on your design(instead of a single final presentation).,"Unlimited attempts on quizzes (instead of the traditional “single attempt”)., Mastery Quizzes (instead of traditional timed exams).",
